BOLSIG+ version: 11/2019
Collision input data:
--------------------------------------------------
N2                                                              
\\Mac\Home\Desktop\bolsig\bolsigdbN2O2.txt
--------------------------------------------------
N2(V6)                                                          
\\Mac\Home\Desktop\bolsig\bolsigdbN2O2.txt
--------------------------------------------------
N2(A3Su+)                                                       
\\Mac\Home\Desktop\bolsig\bolsigdbN2O2.txt
--------------------------------------------------
O2                                                              
\\Mac\Home\Desktop\bolsig\bolsigdbN2O2.txt
--------------------------------------------------
O                                                               
\\Mac\Home\Desktop\bolsig\bolsigdbN2O2.txt
--------------------------------------------------
O(4S0)                                                          
\\Mac\Home\Desktop\bolsig\bolsigdbN2O2.txt
--------------------------------------------------
O3                                                              
\\Mac\Home\Desktop\bolsig\bolsigdbN2O2.txt
--------------------------------------------------
O2(b1)                                                          
\\Mac\Home\Desktop\bolsig\bolsigdbN2O2.txt
 
 
 
 Transport coefficients
A1     Mean energy (eV)                                                
A2     Mobility *N (1/m/V/s)                                           
A6     Diffusion coefficient *N (1/m/s)                                
A11    Energy mobility *N (1/m/V/s)                                    
A12    Energy diffusion coef. *N (1/m/s)                               
A13    Total collision freq. /N (m3/s)                                 
A14    Momentum frequency /N (m3/s)                                    
A16    Total ionization freq. /N (m3/s)                                
A17    Total attachment freq. /N (m3/s)                                
A18    Townsend ioniz. coef. alpha/N (m2)                              
A19    Townsend attach. coef. eta/N (m2)                               
A20    Power /N (eV m3/s)                                              
A21    Elastic power loss /N (eV m3/s)                                 
A22    Inelastic power loss /N (eV m3/s)                               
A23    Growth power /N (eV m3/s)                                       
A27    Maximum energy                                                  
A28    # of iterations                                                 
A29    # of grid trials                                                
A30    Error code                                                      
          R#    E/N (Td)      A1          A2          A6         A11         A12         A13         A14         A16         A17         A18         A19         A20         A21         A22         A23         A27         A28         A29         A30    
           1   1.000       4.677      0.1216E+26  0.4168E+26  0.2040E+26  0.5101E+26  0.1344E-13  0.1447E-13  0.7877E-25   0.000      0.6478E-29   0.000      0.1216E-16  0.2429E-17  0.9611E-17  0.3684E-24   18.55       58.00       10.00      -1.000    
           2   2.188       4.481      0.1176E+26  0.3934E+26  0.2039E+26  0.4916E+26  0.1392E-13  0.1495E-13  0.3292E-23   0.000      0.1279E-27   0.000      0.5631E-16  0.2369E-17  0.5353E-16  0.1475E-22   21.60       12.00       2.000      -1.000    
           3   5.751       4.357      0.1129E+26  0.3685E+26  0.1942E+26  0.4885E+26  0.1461E-13  0.1558E-13  0.1238E-19   0.000      0.1908E-24   0.000      0.3733E-15  0.2422E-17  0.3704E-15  0.5396E-19   29.28       16.00       3.000      -1.000    
           4   11.69       5.033      0.1081E+26  0.4030E+26  0.1770E+26  0.5431E+26  0.1508E-13  0.1627E-13  0.1064E-17   0.000      0.8414E-23   0.000      0.1478E-14  0.2985E-17  0.1469E-14  0.5355E-17   39.70       15.00       3.000      -1.000    
           5   20.01       6.333      0.1014E+26  0.4696E+26  0.1569E+26  0.6155E+26  0.1570E-13  0.1735E-13  0.1256E-16   0.000      0.6193E-22   0.000      0.4057E-14  0.4118E-17  0.3973E-14  0.7957E-16   62.68       20.00       4.000      -1.000    
           6   30.70       7.900      0.9191E+25  0.5321E+26  0.1376E+26  0.6794E+26  0.1667E-13  0.1914E-13  0.5836E-16   0.000      0.2069E-21   0.000      0.8661E-14  0.5743E-17  0.8192E-14  0.4612E-15   84.97       18.00       3.000      -1.000    
           7   43.76       9.665      0.8299E+25  0.5885E+26  0.1219E+26  0.7377E+26  0.1793E-13  0.2119E-13  0.1660E-15   0.000      0.4572E-21   0.000      0.1589E-13  0.7860E-17  0.1428E-13  0.1605E-14   134.1       26.00       4.000      -1.000    
           8   59.21       11.60      0.7499E+25  0.6380E+26  0.1093E+26  0.7959E+26  0.1936E-13  0.2345E-13  0.3538E-15   0.000      0.7968E-21   0.000      0.2629E-13  0.1046E-16  0.2217E-13  0.4107E-14   181.8       20.00       3.000      -1.000    
           9   77.02       13.76      0.6817E+25  0.6841E+26  0.9945E+25  0.8606E+26  0.2086E-13  0.2580E-13  0.6295E-15   0.000      0.1199E-20   0.000      0.4044E-13  0.1360E-16  0.3177E-13  0.8666E-14   246.5       21.00       3.000      -1.000    
          10   97.22       16.17      0.6245E+25  0.7310E+26  0.9162E+25  0.9374E+26  0.2240E-13  0.2817E-13  0.9934E-15   0.000      0.1636E-20   0.000      0.5902E-13  0.1732E-16  0.4293E-13  0.1608E-13   334.2       21.00       3.000      -1.000    
