no,criteria,id,state,equation,value,species,process,param.,comment,updated,option1,option2
1,N2,1,ELASTIC,N2 -> N2,1.950000e-5,e / N2,"E + N2 -> E + N2, Elastic","m/M = 0.0000195, complete set",elastic MOMENTUM-TRANSFER CROSS SECTION.,2012-10-11 09:34:55,N2,nan
2,N2,2,EXCITATION,N2 <-> N2(V1),2.889000e-1,e / N2,"E + N2 -> E + N2( VIB V1), Excitation","E = 0.2889 eV, complete set",,2012-10-11 09:34:55,N2,N2(V1)
3,N2,3,EXCITATION,N2 <-> N2(V2),5.742000e-1,e / N2,"E + N2 -> E + N2( VIB 2V1), Excitation","E = 0.5742 eV, complete set",,2012-10-11 09:34:55,N2,N2(V2)
4,N2,4,EXCITATION,N2 <-> N2(V3),8.559000e-1,e / N2,"E + N2 -> E + N2( VIB 3V1), Excitation","E = 0.8559 eV, complete set",,2012-10-11 09:34:55,N2,N2(V3)
5,N2,5,EXCITATION,N2 <-> N2(V4),1.134200e+0,e / N2,"E + N2 -> E + N2( VIB 4V1), Excitation","E = 1.1342 eV, complete set",,2012-10-11 09:34:55,N2,N2(V4)
6,N2,6,EXCITATION,N2 <-> N2(V5),1.408800e+0,e / N2,"E + N2 -> E + N2( VIB 5V1), Excitation","E = 1.4088 eV, complete set",,2012-10-11 09:34:55,N2,N2(V5)
7,N2,7,EXCITATION,N2 <-> N2(V6),1.680100e+0,e / N2,"E + N2 -> E + N2( VIB 6V1), Excitation","E = 1.6801 eV, complete set",,2012-10-11 09:34:55,N2,N2(V6)
8,N2,8,EXCITATION,N2 <-> N2(V7),1.947500e+0,e / N2,"E + N2 -> E + N2( VIB 7V1), Excitation","E = 1.9475 eV, complete set",,2012-10-11 09:34:55,N2,N2(V7)
9,N2,9,EXCITATION,N2 <-> N2(V8),2.211500e+0,e / N2,"E + N2 -> E + N2( VIB 8V1), Excitation","E = 2.2115 eV, complete set",,2012-10-11 09:34:55,N2,N2(V8)
10,N2,10,EXCITATION,N2 <-> N2(V9),2.471800e+0,e / N2,"E + N2 -> E + N2( VIB 9V1), Excitation","E = 2.4718 eV, complete set",,2012-10-11 09:34:55,N2,N2(V9)
